Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Acocksí«Green,Acocks Green,One &amp; Two
2011,,Adderlyí«Street,Adderly Street,Some &ndash; ndash
2011,," Alcesterí«Raod,í«Mosley"," Alcester Raod, Mosley",&euro;300
2011,,alcesterí«road,alcester road,alcester&nbsp;road
2011,,alcesterí«roadí«moseley,alcester road moseley,&quot;That silly man&quot;
2011,,Alcesterí«Roadí«Moseley,Alcester Road Moseley,&lt;html&gt;
2011,,Alfredí«Street,Alfred Street,One &amp; Two
2011,," Allí«serviceí«club,í«Mosley"," All service club, Mosley",Some &ndash; ndash
2011,,Alumí«Rockí«Road,Alum Rock Road,&euro;300
2011,,Alumí«Rockí«Road,Alum Rock Road,alcester&nbsp;road
2011,,Alumí«Rockí«Road,Alum Rock Road,&quot;That silly man&quot;
2011,,Alumí«Rockí«Road,Alum Rock Road,&lt;html&gt;
2011,,arcadianí«centre,arcadian centre,One &amp; Two
2011,," Ardení«Road,í«Saltley"," Arden Road, Saltley",Some &ndash; ndash
2011,," Asda,í«Chemsleyí«Wood"," Asda, Chemsley Wood",&euro;300
2011,," Balsahllí«Heathí«Park,í«J/Wí«Brightoní«road"," Balsahll Heath Park, J/W Brighton road",alcester&nbsp;road
2011,,Bamfordí«Road,Bamford Road,&quot;That silly man&quot;
2011,,Bamfordí«Road,Bamford Road,&lt;html&gt;
2011,,BeechBrookí«Avenueí«Sparkhill,BeechBrook Avenue Sparkhill,One &amp; Two
2011,,Belchersí«Lane,Belchers Lane,Some &ndash; ndash
2011,,Belchersí«Lane,Belchers Lane,&euro;300
2011,,Belchersí«Lane,Belchers Lane,alcester&nbsp;road
2011,," Belchersí«Lane,í«Bordesleyí«Green"," Belchers Lane, Bordesley Green",&quot;That silly man&quot;
2011,,Bellí«Street,Bell Street,&lt;html&gt;
2011,," Berkleyí«Rdí«Eastí«,í«í«Haymills."," Berkley Rd East ,  Haymills.",One &amp; Two
2011,,birminghamí«airport,birmingham airport,Some &ndash; ndash
2011,,Birminghamí«Internationalí«railwayí«station,Birmingham International railway station,&euro;300
